school_id,cn_name,en_name,tags,faculty,category,entry_month,duration,tuition_fee,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url
958cabe0-ef01-40e5-a061-aab290417f6a,教育学哲学硕士（教育行政）,MPhil Education (Educational Administration),"社科, 教育, 教育学院",教育学院,教育,8月,2年,87000澳门币/年,真人单面,教育行政管理硕士课程主要面向有兴趣学习教育行政管理理论，实践和研究的人员。希望理论和实践相结合将有助于学生发展领导技能，并使他们能够更有效地应对当前教育形势的复杂需求。,"持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩
其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力",雅思: 6; 托福: 80,无,教育行政理论 Theories of Educational Administration; 教育法律和政策分析 Educational Law and Policy Analysis; 教育与发展 Education and Development; 教育研究法 Research Methods in Education; 学校组织变革与发展 Organizational Change and Development in Schools; 社会变迁与教育改革专题讨论 Seminar of Social Change and Educational Reforms; 学校行政与管理 School Administration and Management,https://fed.um.edu.mo/master-of-philosophy-in-education/master-of-philosophy-in-education-educational-administration/
958cabe0-ef01-40e5-a061-aab290417f6a,金融学理学硕士,MSc Finance,"商科, 金融, 工商管理学院",工商管理学院,金融,8月,2年,102000澳门币/年,无,澳门大学金融学理学硕士课程由工商管理学院国际认可的学者教授。它被设计为一系列技能建设课程和角色扩展经验。该计划的目的是为拥有良好数学背景的合格学生提供一个学习金融高级学位的机会。此外，追求更高学历的学生将具备研究能力。我们对定量技能的关注可以使学生为工作和进一步学习做好准备。课程的结构和设计旨在将教学材料与独立思考的动机联系起来。在银行和公司金融等领域设有与行业相关的课程，还提供与研究方法相关的课程，以提高学生的研究技能。我们还提供与金融技术相关的课程，涵盖金融科技融资，金融创新等主题。,"持有澳门大学认可的学士学位或同等学历。申请人持有的学士学位的累计平均积点必须达到2.8（100分制中的75至77分）或以上。
其中具有金融、经济、应用数学、应用科学、统计学、电脑科学、工程或其他定量领域的学士学位者优先。申请人若具备GRE或GMAT成绩更佳",无,无,公司财务 Corporate Finance; 统计与金融计量 Statistics and Financial Econometrics; 金融理论 Theory of Finance; 投资和投资组合管理 Investments and Portfolio Management; 衍生产品 Derivatives; 固定收益证券 Fixed Income Securities; 国际金融 International Finance,https://mscfin.fba.um.edu.mo/
958cabe0-ef01-40e5-a061-aab290417f6a,教育学哲学硕士（教育科技）,MPhil Education (Educational Technology),"社科, 教育, 教育学院",教育学院,教育,8月,2年,87000澳门币/年,无,澳门大学教育学哲学硕士（教育科技）课程旨在培养教育科技领域的先进知识和研究技能。通过严格的课程，包括核心研究相关课程和专业学习计划，使毕业生具备应对复杂教育挑战所需的分析和批判性思维能力。,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,无,无,"教育的当前问题 Current Issues in Education; 教育研究中的定性方法、数据管理与分析 Qualitative Methods, Data Management, and Analysis in Educational Research; 教育研究中的定量方法、数据管理与分析 Quantitative Methods, Data Management, and Analysis in Educational Research; 论文 Thesis; 数字化学习环境的设计 Design of Digital Learning Environments; 移动学习应用程序设计与开发 Mobile Learning Applications Design and Development; 教育环境中的数字游戏和学习 Digital Games and Learning in Educational Settings",https://fed.um.edu.mo/zh-hant/master-of-philosophy-in-education/master-of-philosophy-in-education-educational-technology/
958cabe0-ef01-40e5-a061-aab290417f6a,人工智能理学硕士,MSc Artificial Intelligence,"工科, 计算机, 科技学院",科技学院,计算机,8月,2年,87000澳门币/年,无,应用计算和数学知识解决计算机科学学科中复杂计算问题的能力。将计算专业知识和适用于计算专业的领域知识应用于计算模型的抽象和概念化的能力。分析问题，识别和定义适合其解决方案的计算要求的能力。设计，实现和评估基于计算机的系统，过程，组件或程序，以满足公众健康与安全，社会和环境方面的适当考虑，从而满足所需需求的能力。在团队中有效运作以实现共同目标的能力。对专业，道德，法律，安全和社会问题及责任的理解。与众多受众进行有效沟通的能力。分析计算对个人，组织和社会的本地和全球影响的能力。认识到持续职业发展的必要性和能力。在了解限制的情况下使用计算实践所需的当前技术，技能和工具的能力。,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩,雅思: 6; 托福: 80,无,深度学习简介 Introduction to Deep Learning; 高级机器学习 Advanced Machine Learning; 人工智能数学 Mathematics for Artificial Intelligence; 项目报告 Project Report; 云和分布式系统 Cloud and Distributed Systems; 移动机器人简介 Introduction to Mobile Robotics; 人工智能专题 Special Topics in Artificial Intelligence,https://www.cis.um.edu.mo/ai_from2023.html
958cabe0-ef01-40e5-a061-aab290417f6a,教育学哲学硕士（英语教育）,MPhil Education (English Language Education),"社科, 教育, 教育学院",教育学院,教育,8月,2年,87000澳门币/年,无,澳门大学教育学哲学硕士（英语教育）课程旨在培养英语教育领域的先进知识和研究技能。通过严格的课程，包括核心研究相关课程和专业学习计划，使毕业生具备应对复杂教育挑战所需的分析和批判性思维能力。,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,无,无,"教育的当前问题 Current Issues in Education; 教育研究中的定性方法、数据管理与分析 Qualitative Methods, Data Management, and Analysis in Educational Research; 教育研究中的定量方法、数据管理与分析 Quantitative Methods, Data Management, and Analysis in Educational Research; 论文 Thesis; 英语语言教育的研究方法 Research Methods in English Language Education; 课程、教学与学生技能评估 Evaluation of Curriculum, Instruction and Student Performance; 英语语言教育课程设计 Curriculum Design in English Language Education",https://fed.um.edu.mo/master-of-philosophy-in-education/master-of-philosophy-in-education-english-language-education/
958cabe0-ef01-40e5-a061-aab290417f6a,计算机科学理学硕士,MSc Computer Science,"工科, 计算机, 科技学院",科技学院,计算机,8月,2年,87000澳门币/年,无,应用计算和数学知识解决计算机科学学科中复杂计算问题的能力。将计算专业知识和适用于计算专业的领域知识应用于计算模型的抽象和概念化的能力。分析问题，识别和定义适合其解决方案的计算要求的能力。设计，实现和评估基于计算机的系统，过程，组件或程序，以满足公众健康与安全，社会和环境方面的适当考虑，从而满足所需需求的能力。在团队中有效运作以实现共同目标的能力。对专业，道德，法律，安全和社会问题及责任的理解。与众多受众进行有效沟通的能力。分析计算对个人，组织和社会的本地和全球影响的能力。认识到持续职业发展的必要性和能力。在了解限制的情况下使用计算实践所需的当前技术，技能和工具的能力。,"申请者必须具有学士学位或经澳门大学认可的同等学历，也可能被要求具有其他知识或专业经验
申请者学士学位毕业总平均分应该达到C+或以上成绩（相当于GPA2.3/4，GPA14/20，GPA70/100）",无,无,计算机科学研讨会 Computer Science Seminar; 学术/应用论文 Academic/Applied Thesis; 软件工程基础 Fundamentals of Software Engineering; 计算机通信与网络 Computer Communications and Networks; 数据库的发展现状 Current Development in Database; 编译器构造 Compiler Construction; 算法设计与分析 Design and Analysis of Algorithms,https://www.cis.um.edu.mo/msc_computer_science.html
958cabe0-ef01-40e5-a061-aab290417f6a,教育学哲学硕士（数学教育）,MPhil Education (Mathematics Education),"社科, 教育, 教育学院",教育学院,教育,8月,2年,87000澳门币/年,无,澳门大学教育学哲学硕士（数学教育）课程旨在培养数学教育领域的先进知识和研究技能。通过严格的课程，包括核心研究相关课程和专业学习计划，使毕业生具备应对复杂教育挑战所需的分析和批判性思维能力。,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,无,无,"教育的当前问题 Current Issues in Education; 教育研究中的定性方法、数据管理与分析 Qualitative Methods, Data Management, and Analysis in Educational Research; 教育研究中的定量方法、数据管理与分析 Quantitative Methods, Data Management, and Analysis in Educational Research; 论文 Thesis; 行动研究 Action Research; 课程与教学基础 Foundations of Curriculum and Instruction; 数学课程与教材研究 Studies on Mathematics Curriculum and Textbooks",https://fed.um.edu.mo/zh-hant/master-of-philosophy-in-education/master-of-philosophy-in-education-mathematics-education/
958cabe0-ef01-40e5-a061-aab290417f6a,数据科学（计算语言学）理学硕士,MSc Data Science (Computational Linguistics),"工科, 计算机, 人文学院",人文学院,计算机,8月,2年,87000澳门币/年,真人群面,"澳门大学数据科学（计算机语言学）理学硕士项目以多学科课程为特色，该课程借鉴了一系列学科的见解，使学生能够使用最新的工具和分析方法从现实世界的数据集中提取信息，并以多种方式解释和交流他们的发现。改变人们的思想和行为。
澳门大学数据科学（计算机语言学）理学硕士课程为期两年，与不同的学术单位合作开展项目。学生将有理工学院讲授的大数据理论、挖掘与分析技术等共4门基础课程。实际和有效地应用于他们指定的专业领域。学生应按照指定专业的学习计划进行选课，并完成项目报告。",工程学学士和计算机科学或数学理学学士毕业生,无,无,语言与语言学 Language and Linguistics; 应用自然语言处理 Applied Natural Language Processing; 语料库语言学 Corpus Linguistics; 计算机辅助翻译 Computer-aided Translation; 语言使用的评价和评估 Evaluation and Assessment of Language Use; 中国语言学方法 Methods in Chinese Linguistics; 应用语言学专题 I Special Topics in Applied Linguistics I,https://cds.ici.um.edu.mo/programme/specialization/computational-linguistics/
958cabe0-ef01-40e5-a061-aab290417f6a,教育学哲学硕士（学校辅导）,MPhil Education (School Counseling),"社科, 教育, 教育学院",教育学院,教育,8月,2年,87000澳门币/年,无,澳门大学教育学哲学硕士（学校辅导）课程旨在培养学校辅导领域的先进知识和研究技能。通过严格的课程，包括核心研究相关课程和专业学习计划，使毕业生具备应对复杂教育挑战所需的分析和批判性思维能力。,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,无,无,"教育的当前问题 Current Issues in Education; 教育研究中的定性方法、数据管理与分析 Qualitative Methods, Data Management, and Analysis in Educational Research; 教育研究中的定量方法、数据管理与分析 Quantitative Methods, Data Management, and Analysis in Educational Research; 论文 Thesis; 支持有情绪和行为困难的学生 Supporting Students with Emotional and Behavioral Difficulties; 咨询专业的理论 Theories in the Counseling Profession; 高级学校咨询技巧 Advanced School Counseling Skills",https://fed.um.edu.mo/zh-hant/master-of-philosophy-in-education/master-of-philosophy-in-education-school-counseling/
958cabe0-ef01-40e5-a061-aab290417f6a,物联网理学硕士,MSc Internet of Things,"工科, 计算机, 科技学院",科技学院,计算机,8月,2年,87000澳门币/年,无,应用计算和数学知识解决计算机科学学科中复杂计算问题的能力。将计算专业知识和适用于计算专业的领域知识应用于计算模型的抽象和概念化的能力。分析问题，识别和定义适合其解决方案的计算要求的能力。设计，实现和评估基于计算机的系统，过程，组件或程序，以满足公众健康与安全，社会和环境方面的适当考虑，从而满足所需需求的能力。在团队中有效运作以实现共同目标的能力。对专业，道德，法律，安全和社会问题及责任的理解。与众多受众进行有效沟通的能力。分析计算对个人，组织和社会的本地和全球影响的能力。认识到持续职业发展的必要性和能力。在了解限制的情况下使用计算实践所需的当前技术，技能和工具的能力。,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C+级或更高的总成绩,雅思: 6; 托福: 80,无,物联网简介 Introduction to Internet of Things; 应用概率与统计高级主题 Advanced Topics in Applied Probability and Statistics; 射频识别原理及应用 RFID Principle and Applications; 先进的物联网集成电路设计 Advanced Integrated Circuit Design for Internet of Things; 物联网应用的嵌入式系统 Embedded Systems for Internet of Things Applications; 计算机网络和互联网 Computer Networks and Internet; 电信高级专题 Advanced Topics in Telecommunications,https://www.fst.um.edu.mo/ece/msc-programme-bak/msc-in-internet-of-things-from-2022-2023/
