id,cn_name,en_name,ranking,tags,description,url
81,普林斯顿大学,Princeton University,1,常春藤联盟|美国大学协会|全球大学校长论坛,普林斯顿大学成立于1746年，是世界著名的私立研究型大学，也是与哈佛大学、耶鲁大学齐名的美国三大学府之一和常春藤盟校成员。普林斯顿大学以精英式的本科教育与高深卓越的理论研究闻名于世，是富可敌国的学术机构。从2001年到2024年，普林斯顿一直被美国新闻与世界报导排在全美大学排名第一位。普林斯顿大学的校友、教授及研究人员中，已产生了74位诺贝尔奖得主（世界第十）、16名菲尔兹奖得主（世界第三）、16名图灵奖得主（世界第四）。,https://www.compassedu.hk/univ_81_12
85,麻省理工学院,Massachusetts Institute of Technology,2,爱国者联盟|美国大学协会|全球大学校长论坛,麻省理工学院（MIT），成立于1861年，位于美国剑桥市，是美国培养高级科技人才和管理人才的研究型私立大学，是以理工科为主的综合性世界一流大学。有“世界理工大学之最”的美名。学校采用了欧洲理工大学的模式办学，该校的自然及工程科学在世界上享有极佳的盛誉，其工程系曾连续七届获得美国工科研究生课程冠军，其中以电子工程专业名气最响，紧跟其后的是机械工程。麻省理工学院的校友、教授及研究人员涵盖97位诺贝尔奖得主、26位图灵奖得主。,https://www.compassedu.hk/univ_85_12
80,哈佛大学,Harvard University,3,常春藤联盟|全球大学高研院联盟,"哈佛大学建立于1636年，是一所本部坐落于美国马萨诸塞州剑桥市的私立研究型大学，其因历史、学术影响力、财富等因素而获评为世上最享负盛名的学府之一。该校属于常春藤盟校，全球大学校长论坛、全球大学高研院联盟成员。哈佛大学的校友和教职人员中有160多名诺贝尔奖获得者、8位美国总统。哈佛拥有全美最古老的图书馆系统，这同时也是全球最具规模的私立及大学图书馆系统，馆藏量逾1, 600万册。",https://www.compassedu.hk/univ_80_12
86,斯坦福大学,Stanford University,4,新常春藤|美国大学协会|全球大学高研院联盟,斯坦福大学，一所坐落于美国加利福尼亚州斯坦福的私立研究型大学，临近硅谷，是美洲大学协会的12个创始会员之一，因其学术声誉和创业氛围而获评为世界上最知名的高等学府之一，是全球大学校长论坛成员、全球大学高研院联盟成员。斯坦福培养了不少著名人士，其校友在世界各地创办了众多著名的公司机构，如：谷歌、雅虎、惠普、耐克、英伟达、艺电等等。,https://www.compassedu.hk/univ_86_12
82,耶鲁大学,Yale University,5,常春藤联盟|美国大学协会|全球大学校长论坛,耶鲁大学是一所坐落于美国康涅狄格州纽希文市的私立研究型大学，是美洲大学协会的14个创始校成员之一，常春藤联盟成员、全球大学校长论坛成员、美国教育理事会成员、国际研究型大学联盟成员。该校成立于1701年，是全美第三古老的高等学府。耶鲁大学图书馆拥有1500万册藏书，在美国大学图书馆系统中排名第2。耶鲁大学校友、教授及研究人员中，共产生了65位诺贝尔奖得主、5位菲尔兹奖得主、3位图灵奖得主、5位美国总统。,https://www.compassedu.hk/univ_82_12
84,加州理工学院,California Institute of Technology,6,美国大学协会|环太平洋大学联盟|全球大学校长论坛,加州理工学院，是1891年创立的一所私立研究型大学，是世界最顶尖的理工类科学研究型学府之一。加州理工学院是全球大学校长论坛成员，入选英国政府“高潜力人才签证计划”。全校学生仅2000人左右，300名教授，以及600多名研究学者，但校友、教职工和研究人员中却有74人75次获得诺贝尔奖。加州理工学院以自然科学及工程学著称，常被评为世界前十的大学之一，并与麻省理工学院、伦敦帝国理工学院、苏黎世联邦理工学院并称世界四大理工学院。,https://www.compassedu.hk/univ_84_12
89,杜克大学,Duke University,6,大西洋海岸联盟|美国大学协会|全球大学高研院联盟,杜克大学是一所位于美国北卡罗来纳州达勒姆的私立研究型大学。该校每年在研究上的花费超过10亿美元，使其成为美国十大研究型大学之一。杜克大学图书馆藏书量列全美大学第3，仅次于哈佛和耶鲁。杜克大学是一所国际性的大学，学生来自美国各地和全世界九十多个国家。该校医学院、法学院、商学院、工程学院都很优秀，多个专业都排名前列。杜克大学为全球大学高研院联盟和美国大学协会成员。,https://www.compassedu.hk/univ_89_12
91,西北大学（美国）,Northwestern University(United States),6,美国大学协会|十大联盟,西北大学（简称：NU）是美国的一所著名私立研究型大学，属于十大联盟创始成员和美国大学协会成员。西北大学虽不是常青藤联盟的成员，但比起在美国东部地区同等级的学校来说更专注于教学的实用性和职业导向性。该校于1851年创立，目标是建立一所为西北领地地区服务的大学。西北大学在《美国新闻与世界报道》《泰晤士报高等教育》《世界大学学术排名》等主要教育刊物常年评为全美前十名、世界前三十名，是美国历史悠久的知名学府。,https://www.compassedu.hk/univ_91_12
92,约翰霍普金斯大学,Johns Hopkins University,6,美国大学协会|十大联盟,约翰斯·霍普金斯大学（简称JHU）是一所创立于1876年的私立综合研究型大学，是世界上第一所研究型大学，也是全美大学联盟（AAU）创始校之一。JHU采用德国古老的海德堡大学研究所的概念，美国国家科学基金会曾连续31年将该校列为全美科研经费开支最高的大学。该校在医学、公共卫生、生物学、统计学、历史学与国际关系等相关学术领域闻名世界，医学院与哈佛医学院齐名，同时其也是哈勃空间望远镜和詹姆斯·韦伯空间望远镜的地面控制中心所在地。,https://www.compassedu.hk/univ_92_12
88,宾夕法尼亚大学,University of Pennsylvania,10,常春藤联盟|美国大学协会|全球大学校长论坛,宾夕法尼亚大学，简称宾大，是一所位于费城的世界著名私立研究型大学。宾大是享誉国际的常春藤盟校、美洲大学协会的12所创始校、全球大学校长论坛成员之一。该校创建于1740年，是美国第五古老的高等教育机构，也是美国第一所从事科学技术和人文教育的现代高等学校。宾夕法尼亚大学在商学、工程、医学、建筑、法学、艺术、人文、社会科学和教育学等诸多学科中处于世界领先地位。同时，学校每年的建设投入达到4亿美元以上，在常春藤盟校中名列前茅。,https://www.compassedu.hk/univ_88_12
87,芝加哥大学,University of Chicago,11,美国大学协会|全球大学校长论坛,芝加哥大学，简称芝大，是世界顶级的私立研究型大学，美洲大学协会12个创始会员之一，常年位列各大学排行榜前十。芝加哥大学于1890年由石油大王创办，自建校起，芝大便以宏观教育理念与微观实验精神奠定了其在美国教育史上的重要地位。该校对于学术研究的贡献也使其拥有极高的声誉，世界上很少有一所大学像芝大那样在各个学科领域均创立了赫赫有名的“芝加哥学派”，如芝加哥经济学派，芝加哥社会学派等等。芝大素以盛产诺贝尔奖得主而闻名，约40%的诺贝尔经济学奖得主与芝大相关。,https://www.compassedu.hk/univ_87_12
95,康奈尔大学,Cornell University,11,常春藤联盟|美国大学协会|国际大学气候联盟,康奈尔大学，主校区位于美国纽约州伊萨卡市，是一所私立大学，美国大学协会成员之一，为常春藤联盟成员校、国际大学气候联盟成员校、美国公立与赠地大学协会成员校。自学校成立之初，其创始人就期待将康大办成一所全科型的新式大学，教授内容从文学名著至自然科学，自理论研究扩及实际应用，无所不包。该校在世界范围内享有极高的学术声誉，学校共有61位校友或教职工荣获诺贝尔奖。因其包容性，该校还被誉为“美国历史上第一所真正意义上的全民大学”。,https://www.compassedu.hk/univ_95_12
83,哥伦比亚大学,Columbia University,13,常春藤联盟|美国大学协会|全球大学校长论坛,哥伦比亚大学，简称“哥大”，位于美国纽约曼哈顿上城区，是一所顶尖私立研究型大学、美国大学协会十四所创始院校之一，也是常春藤盟校之一，是全球大学校长论坛成员，入选英国政府“高潜力人才签证计划”。哥伦比亚大学是纽约州最古老的高等教育学府，也是美国第五古老的高等教育机构。哥大研究生院以卓越的学术成就而闻名，学校的教育学、医学、法学、商学和新闻学院都名列前茅。,https://www.compassedu.hk/univ_83_12
94,布朗大学,Brown University,13,常春藤联盟|美国大学协会|大学研究协会,布朗大学，位于美国普罗维登斯市，是美国八所著名常春藤盟校之一，也是美国最早建立的高校之一，属于美国大学协会成员。布朗大学不论是在学术上还是在非学术方面，特别强调和崇尚自由，是常春藤盟校中最有性格、最会创新、最为开放也极受学生欢迎的大学。该校拥有全美顶级的传统人文社科，尤其是应用数学、公共政策和全球研究、环境科学、古典文学、公共卫生等专业。学校有6位诺贝尔奖得主、24位普利策奖得主。,https://www.compassedu.hk/univ_94_12
90,达特茅斯学院,Dartmouth College,15,常春藤联盟,达特茅斯学院，是位于汉诺威镇的一所私立大学，是常春藤联盟成员。该校是建校早于美国建国的九所殖民地学院之一，也是美国大学协会、美国教育理事会、昴宿星大学联盟成员。该校校区坐落在康涅狄格河河谷之中，数百年来培育了许多知名校友。达特茅斯学院除拥有文学艺术类的本科课程外，还拥有医学院、工程学院、商学院以及18个自然科学和人文社科方面的研究生项目，然而鉴于传统的影响，并为了突出该校对于本科教育的极度重视，达特茅斯一直以“学院”名世。,https://www.compassedu.hk/univ_90_12
